Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Marston,2021,475144,474000,479433,509588,518766,536755,538666,530033,528200,532622,537677,544766
Marston,2022,553811,570322,612088,623366,620333,610100,592222,566733,566022,554944,561600,0
East Colfax,2017,285554,290254,298527,302063,308227,312127,309972,311090,310936,311172,315463,318709
East Colfax,2018,319672,313763,321963,336045,347718,351227,352627,353690,357027,361390,356745,358745
East Colfax,2019,362754,364981,365845,371172,366427,365572,365581,367309,368954,367863,367963,371272
East Colfax,2020,373436,376981,379736,381745,382400,382618,380890,383045,390372,395545,402036,407100
East Colfax,2021,409954,413490,417818,435372,446827,470481,467609,455972,451163,449045,450845,453263
East Colfax,2022,458690,469009,497736,510163,510036,500209,486290,479600,476072,491100,508718,0
South Park Hill,2017,642330,667390,666640,665990,667410,673630,674540,672120,670320,662340,676270,681960
South Park Hill,2018,680040,684790,701780,705490,714030,714230,712500,711690,712670,716160,722810,717050
South Park Hill,2019,732470,720490,713730,714550,712130,715630,716720,713900,719700,720630,723630,726570
South Park Hill,2020,731880,736150,740220,752440,752930,755800,755700,759340,770370,786240,781470,787430
South Park Hill,2021,802640,810280,815930,849910,863340,878860,886830,854720,851320,858000,865090,878110
South Park Hill,2022,874240,925060,987650,1383810,1376980,1375210,1254630,1247450,1257100,1450820,1443470,0
Speer,2017,524727,531711,540511,543561,550416,552700,547700,546644,556227,557950,561255,566333
Speer,2018,565577,559272,565750,569505,573622,574672,574683,578350,582266,584255,583244,584494
Speer,2019,587133,585822,585000,585683,582666,581111,578972,582444,584305,577688,576600,585377
Speer,2020,588183,589855,595183,595311,591827,591822,590516,589944,597433,604811,596544,599477
Speer,2021,601522,631794,639950,654127,674594,681472,681350,666055,668705,674716,676016,679427
Speer,2022,689072,693438,737438,750522,763216,795977,769377,773900,768350,777922,785772,0
Harvey Park South,2017,360450,363950,369200,370275,373900,379900,376925,381000,382750,383675,390025,397150
Harvey Park South,2018,397500,396100,414100,419500,426225,423575,429275,427475,431450,428275,430500,433825
Harvey Park South,2019,434150,433225,437325,436275,429800,433650,437025,439325,439350,439175,441900,444650
Harvey Park South,2020,445225,445150,447450,447250,451000,455200,458575,458875,465025,472850,477875,487150
Harvey Park South,2021,491375,495125,500150,523150,539075,536425,534675,519625,514475,518725,519750,522225
Harvey Park South,2022,528250,535950,581150,605475,611700,602550,582175,568000,567650,624625,621750,0
Harvey Park,2017,299568,304618,313093,316375,318356,321306,321850,323118,324475,326987,330900,333831
Harvey Park,2018,334950,337693,343050,347281,349650,349450,350662,352300,351350,352825,353575,355868
Harvey Park,2019,355925,354675,353443,354806,355943,356412,359050,360200,359106,359243,359431,359956
Harvey Park,2020,362200,364581,368762,372775,376818,377975,378093,379687,385237,390031,396825,402112
Harvey Park,2021,408218,414475,419275,443900,459993,458718,457881,448531,445431,448831,449793,452268
Harvey Park,2022,458100,468681,502993,521043,522418,511468,499762,486487,496881,493431,500693,0
Baker,2017,389645,394163,401845,405954,411636,412945,412690,412972,414463,415009,417027,419554
Baker,2018,420672,424963,427009,434527,439363,443500,446072,444290,448254,450981,454454,458727
Baker,2019,460536,460254,458190,458000,456581,457809,452636,454200,469509,467709,466281,467563
Baker,2020,472836,477281,476645,478845,477136,478990,479063,479009,489863,495072,502472,502254
Baker,2021,505445,509454,516290,541354,557836,562663,563236,551990,546936,546200,546736,549709
Baker,2022,554436,568027,602545,626090,627754,611090,589545,625009,610181,622963,602900,0
City Park West,2017,381080,387400,392280,396180,400400,403480,400700,399640,395000,390420,387080,391420
City Park West,2018,388260,391160,404460,409520,407160,413020,416760,416900,414400,409120,410760,413220
City Park West,2019,418820,416640,418260,420800,417300,417320,415200,416140,418680,418600,416200,415700
City Park West,2020,419480,421680,423400,428000,428700,428040,428740,429640,542800,444920,444620,449080
City Park West,2021,450260,457180,461520,492600,507480,512280,508480,490980,485920,402440,403380,407140
City Park West,2022,411260,419280,449340,457940,481620,456200,446640,432140,535740,541720,628500,0
